level,db,mix_path,speech_path,noise_path,denoised_path,dnsmos_noisy,dnsmos_deno,dnsmos_diff,pesq_noisy,pesq_deno,pesq_diff,snr_in_db,snr_out_db,snr_delta_db
1,-3,mix_data/ml_1_-3dB.wav,speech_data/sl_1_-3dB.wav,noise_data/nl_1_-3dB.wav,denoise_data/dl_1_-3dB.wav,1.0896115223520524,2.482232555235014,1.3926210328829618,1.0397794246673584,1.130334734916687,0.09055531024932861,-3.0000032607651015,7.018482111855714,10.018485372620816
1,-2,mix_data/ml_1_-2dB.wav,speech_data/sl_1_-2dB.wav,noise_data/nl_1_-2dB.wav,denoise_data/dl_1_-2dB.wav,1.1455673545203469,2.5507091116884566,1.4051417571681097,1.0436656475067139,1.1622655391693115,0.11859989166259766,-2.000001149717006,7.903739326303672,9.903740476020678
1,-1,mix_data/ml_1_-1dB.wav,speech_data/sl_1_-1dB.wav,noise_data/nl_1_-1dB.wav,denoise_data/dl_1_-1dB.wav,1.4439299993912762,2.616866012447802,1.1729360130565256,1.048761010169983,1.2088584899902344,0.16009747982025146,-1.0000036159079653,8.810922325714635,9.810925941622601
1,0,mix_data/ml_1_0dB.wav,speech_data/sl_1_0dB.wav,noise_data/nl_1_0dB.wav,denoise_data/dl_1_0dB.wav,1.816571555035319,2.6711922285226066,0.8546206734872877,1.0545251369476318,1.2650856971740723,0.21056056022644043,-3.9094550173630106e-06,9.69149764434197,9.691501553796988
1,1,mix_data/ml_1_1dB.wav,speech_data/sl_1_1dB.wav,noise_data/nl_1_1dB.wav,denoise_data/dl_1_1dB.wav,1.9937440474519168,2.710879837891902,0.7171357904399851,1.0628284215927124,1.329506754875183,0.2666783332824707,0.9999944847305433,10.567291779165476,9.567297294434933
1,2,mix_data/ml_1_2dB.wav,speech_data/sl_1_2dB.wav,noise_data/nl_1_2dB.wav,denoise_data/dl_1_2dB.wav,2.1199340181561115,2.7769097332474275,0.656975715091316,1.0747085809707642,1.4127819538116455,0.33807337284088135,1.9999984187659607,11.433738782882294,9.433740364116334
1,3,mix_data/ml_1_3dB.wav,speech_data/sl_1_3dB.wav,noise_data/nl_1_3dB.wav,denoise_data/dl_1_3dB.wav,2.2388865402470692,2.8219689265867673,0.5830823863396981,1.0891681909561157,1.506859302520752,0.41769111156463623,2.999994004071386,12.290938515689152,9.290944511617766
2,-3,mix_data/ml_2_-3dB.wav,speech_data/sl_2_-3dB.wav,noise_data/nl_2_-3dB.wav,denoise_data/dl_2_-3dB.wav,1.1303778422901747,2.3984827746193984,1.2681049323292237,1.036501407623291,1.1123483180999756,0.07584691047668457,-3.0000018995348916,6.998881287531415,9.998883187066307
2,-2,mix_data/ml_2_-2dB.wav,speech_data/sl_2_-2dB.wav,noise_data/nl_2_-2dB.wav,denoise_data/dl_2_-2dB.wav,1.2664991284911549,2.540384824336286,1.273885695845131,1.0401302576065063,1.1415770053863525,0.10144674777984619,-2.0000009532713685,7.886212878075453,9.886213831346822
2,-1,mix_data/ml_2_-1dB.wav,speech_data/sl_2_-1dB.wav,noise_data/nl_2_-1dB.wav,denoise_data/dl_2_-1dB.wav,1.4971305174780851,2.625229794998497,1.1280992775204117,1.0444855690002441,1.1783808469772339,0.13389527797698975,-1.000003380150635,8.769465051562769,9.769468431713403
2,0,mix_data/ml_2_0dB.wav,speech_data/sl_2_0dB.wav,noise_data/nl_2_0dB.wav,denoise_data/dl_2_0dB.wav,1.6514989418543649,2.697216319931122,1.0457173780767572,1.0498559474945068,1.2250590324401855,0.1752030849456787,-2.8264959878923834e-06,9.651465241089763,9.651468067585752
2,1,mix_data/ml_2_1dB.wav,speech_data/sl_2_1dB.wav,noise_data/nl_2_1dB.wav,denoise_data/dl_2_1dB.wav,1.8970388533407314,2.758316526054866,0.8612776727141347,1.0561286211013794,1.2783381938934326,0.22220957279205322,1.0000051081894419,10.524965645452697,9.524960537263256
2,2,mix_data/ml_2_2dB.wav,speech_data/sl_2_2dB.wav,noise_data/nl_2_2dB.wav,denoise_data/dl_2_2dB.wav,2.137007106683679,2.814305303694368,0.677298197010689,1.0663509368896484,1.3453655242919922,0.27901458740234375,2.0000003520811873,11.402101797081212,9.402101445000024
2,3,mix_data/ml_2_3dB.wav,speech_data/sl_2_3dB.wav,noise_data/nl_2_3dB.wav,denoise_data/dl_2_3dB.wav,2.2391427879555446,2.858306162882223,0.6191633749266785,1.0755627155303955,1.4291496276855469,0.35358691215515137,2.9999909251773884,12.27164468926774,9.271653764090352
3,-3,mix_data/ml_3_-3dB.wav,speech_data/sl_3_-3dB.wav,noise_data/nl_3_-3dB.wav,denoise_data/dl_3_-3dB.wav,1.1683288561458152,2.819061396146524,1.650732540000709,1.0551700592041016,1.246094822883606,0.1909247636795044,-2.9999989859557674,7.841926830500256,10.841925816456023
3,-2,mix_data/ml_3_-2dB.wav,speech_data/sl_3_-2dB.wav,noise_data/nl_3_-2dB.wav,denoise_data/dl_3_-2dB.wav,1.3283567327792023,2.9227676831064273,1.594410950327225,1.0653495788574219,1.2893321514129639,0.223982572555542,-2.0000014844650735,8.759967070030987,10.75996855449606
3,-1,mix_data/ml_3_-1dB.wav,speech_data/sl_3_-1dB.wav,noise_data/nl_3_-1dB.wav,denoise_data/dl_3_-1dB.wav,1.6113821650182445,2.9559654878503006,1.344583322832056,1.0785160064697266,1.3680408000946045,0.28952479362487793,-1.000004569156899,9.677363940927343,10.677368510084243
